,,,,,,To check,To check,To check,To check,To check,To check,To check,To check,To check,,To check,,To check,To check,To check,To check,To check,To fill,To fill,To fill,To fill,To fill,To fill,To fill,To fill,
,,,A3113,136,3114,"Farmers' attitude towards sustainable management of Soppina Betta forests in Sringeri area of the Western Ghats, South India","Soppina Betta Forests (SBFs; foliage forests) are minor forests allowed by the State for the Areca-grower's use as organic support in the Western Ghats area of Karnataka, South India. Sustainable utilization of these for foliage and litter (to make composted leaf-manure) and firewood (to boil Areca nuts before drying) would ensure the farmer to stand on his own and prevent him from unduly pressurizing the State Forests. Ten hamlets in Sringeri area of the Western Ghats were selected at random, from each of which nearly 10 farmers were interviewed by PRA technique for a socio-economic survey of the purpose, benefits and management of their individual SBFs. One representative SBF from each of the 10 hamlets was taken up for phytosociological survey and the results were compared with a natural forest benchmark selected nearby. Species diversity at all levels was higher in the SBFs than in the natural forest. Stand densities too were higher, but basal coverages were lower. The farmers were found to promote select species like Aporosa lindleyana, Memecylon umbellatum, Syzygium cumini and S. caryophyllatum for their foliage requirements, The benefits derived, lopping patterns, protection and planting attitudes of the farmers were marked with a differentiating scheme and the relative scores on these four heads of management attributes were summed up into a management value index (MVI). MVI was found to increase with the Areca-landholding status of the farmers, and optimization of the MVI was observed at an Areca-landholding to SBF ratio of 1 : 1.5-2.5 for the low (0-1 ha), intermediate (1-2 ha) and rich (>2 ha) Areca-landholding categories. The optimization was most pronounced for the low landholding group of farmers. The average size-class distribution of tree species individuals of the 10 SBFs described the expected L-shaped curve similar to that of the natural forest, but possessed larger number of individuals in most of the size-classes. (C) 2000 Elsevier Science B.V. All rights reserved.",Y,Unsure,no DOI (manual),2000,FOREST ECOLOGY AND MANAGEMENT,"Nayak, SNV; Swamy, HR; Nagaraj, BC; Rao, U; Chandrashekara, UM",,,limnology; primary productivity; energy transformation; culture-based fisheries; enhancement; stocking; exotic species,,Indian Council of Agricultural Research (ICAR); ICAR - Central Inland Fisheries Research Institute,"Cent Inland Capture Fisheries Res Inst, Barakpur 743101, W Bengal, India","Sugunan, VV (corresponding author), Cent Inland Capture Fisheries Res Inst, Barakpur 743101, W Bengal, India.",,,,,,,,,,,
,,,A2308,137,2309,"Ethnobotanical flora used by four major tribes of Koraput, Odisha, India","The aim of this study is to chronicle the utilization pattern of a number of plant species by four major tribes inhabiting in Koraput district of Odisha, India. Fifteen villages dominated by tribal communities, under five Community Development Blocks were selected. A semi structured questionnaire was developed to bring together data on traditional crops and forest species still used by the communities. The methodology engaged was personal discussions with mixed focused groups combined with field visits, photographs, voice recordings and collection of materials. Findings were that tribal communities cultivate a diverse crop species with varying durations to meet their food and economic requirement throughout the year. This was supplemented by wild food collections during scarcity periods. Various forest species provide wood, fibre, leaves and grasses for agriculture, house construction and specific uses besides enhancing household income. Tribal health care practitioners collect medicinal plants from the wild and semi wild to treat both humans and livestock. At the end of the study the team assumed that tribal communities would continue to depend on traditional crops and wild forest foods for their household consumption and a diverse species of plants for other specific use. Conservation of these valuable resources in its natural habitat would be an appropriate approach for ensuring food security of future generations. Conventional plant breeders and biotechnologists should undertake scientific validation of these crops and plants to make their value explicitly known. This knowledge could be utilized for crop improvement and bio-prospecting. There is also scope for equitable sharing of benefits if used by the seed and pharmaceutical industries in future.",Y,Checklist,https://doi.org/10.1007/s10722-011-9719-0,2012,GENETIC RESOURCES AND CROP EVOLUTION,"Mishra, S; Chaudhury, SS",,,mangrove ecosystem; microbial population; soil nutrient content; seasonal variation,ORGANIC-CARBON; BACTERIA; SEDIMENTS; NITROGEN; IDENTIFICATION; POPULATIONS; DYNAMICS; STRESS; ORISSA; FUNGI,Indian Council of Agricultural Research (ICAR); ICAR - National Rice Research Institute,"[Mishra, Rashmi Ranjan] MITS Sch Biotechnol, Dept Biotechnol, Bhubaneswar 751024, Odisha, India; [Swain, Manas Ranjan; Thatoi, Hrudayanath] Coll Engn & Technol, Dept Biotechnol, Bhubaneswar 751003, Odisha, India; [Dangar, Tushar Kanti] Cent Rice Res Inst, Div Crop Prod, Microbiol Lab, Cuttack 753006, Odisha, India","Mishra, RR (corresponding author), MITS Sch Biotechnol, Dept Biotechnol, Bhubaneswar 751024, Odisha, India.",,,,,,,,,,,
,,,B0025,138,3355,"Vegetation characteristics of Chapredi Reserve Forest of Bhuj-Kachchh, Gujarat",NA,Y,,no DOI (manual),NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,A2562,139,2563,Forest cover change detection of Western Ghats of Maharashtra using satellite remote sensing based visual interpretation technique,"In this article, we attempt to quantify change in forest area of the Western Ghats of Maharashtra over a 20-year time period (1985-87 to 2005) using visual interpretation technique at 1 : 250 K scale. The study was conducted using the Forest Survey of India vegetation maps for 1985-87, prepared using Landsat TM data and IRS LISS III imagery for 2005. The results reveal loss of dense forest at an annual rate of 0.72% and that of open forest at 0.49%. It also reports an increase in mangrove vegetation and water bodies in the study area. In addition, it also reports districtwise pattern of change in forest cover.",Y,Unsure,no DOI (manual),2010,CURRENT SCIENCE,"Panigrahy, RK; Kale, MP; Dutta, U; Mishra, A; Banerjee, B; Singh, S",,,Biomass; Tree-crop interactions; Tree spacing; Cowpea; Fodder grasses,WATER-USE; PRODUCTIVITY; PLANTATIONS; SYSTEMS; IMPACT; GROWTH; RICE; SOIL,Indian Council of Agricultural Research (ICAR); ICAR - Central Research Institute of Dryland Agriculture,"[Prasad, J. V. N. S.; Korwar, G. R.; Rao, K. V.; Mandal, U. K.; Rao, C. A. R.; Rao, G. R.; Ramakrishna, Y. S.; Venkateswarlu, B.] Cent Res Inst Dryland Agr, Hyderabad 500059, Andhra Pradesh, India; [Rao, S. N.] Indian Tobacco Co ITC, Paper Boards & Specialty Papers Div PSPD, Secunderabad 500003, India; [Kulkarni, H. D.] Indian Tobacco Co ITC, Paper Boards & Specialty Papers Div PSPD, Khammam Dt 507201, Andhra Pradesh, India","Prasad, JVNS (corresponding author), Cent Res Inst Dryland Agr, Hyderabad 500059, Andhra Pradesh, India.",Indian Council of Agricultural Research [NATP-RNPS-26]; Cess fund,,,,,,,,,,
,,,A0353,140,354,Active restoration fosters better recovery of tropical rainforest birds than natural regeneration in degraded forest fragments,NA,Y,Plot-based,https://doi.org/10.1111/1365-2664.14052,2022,JOURNAL OF APPLIED ECOLOGY,"Hariharan, P; Raman, TRS",,,Shoreline; Tasseled-Cap transformation; Digital shoreline analysis system (DSAS); Azimuth erosion; Coastal West Bengal,SEA-LEVEL RISE; TIME-SERIES; PREDICTIVE ACCURACY; CAP TRANSFORMATION; SAGAR ISLAND; DIGHA COAST; VULNERABILITY; GIS; MANGROVES,Delhi School of Economics; University of Delhi,"[Mondal, Biswajit; Saha, Ashis Kumar] Univ Delhi, Delhi Sch Econ, Dept Geog, Delhi 110007, India; [Roy, Anirban] Govt West Bengal, West Bengal Biodivers Board, Dept Environm, Kolkata 700106, India","Mondal, B (corresponding author), Univ Delhi, Delhi Sch Econ, Dept Geog, Delhi 110007, India.",,,,,,,,,,,
,,,A1216,141,1217,Phylogenetic diversity in the Western Ghats biodiversity hotspot reflects environmental filtering and past niche diversification of trees,"Aim We examined how contrasted climatic conditions influenced the ecological and phylogenetic diversity of tropical trees at the regional scale. Beyond the basic expectation of greater environmental filtering in currently stressful contexts, we addressed how biogeographic history and past climates contributed to shaping the distribution and diversity of extant taxa. Location Evergreen forests of Western Ghats, India. Methods We evaluated the relative importance of niche-based, historical, and spatial processes on community phylogenetic structure and turnover in 297 plots including 459 species. If niche conservatism prevails, we expected greater phylogenetic clustering under harsher or historically less stable climates, and overdispersion in opposite conditions. To test the role of environmental filtering in shaping local communities, we assessed species' climatic niches and congruence between niche and phylogenetic diversity. To assess the imprint of ancient versus recent evolutionary constraints, we calculated mean pair-wise (MPD) and nearest-taxon (MNTD) phylogenetic distances, respectively. Results We found non-random phylogenetic structure depending on both current and past climatic variation. Basal community phylogenetic structure (MPD) was related to niche diversity and varied according to hydric stress: (a) northern environments filtered more closely related species, while (b) phylogenetic overdispersion suggested greater niche differentiation in stable, least-seasonal southern habitats and at high elevations. Terminal phylogenetic structure (MNTD) did not show overdispersion. Phylogenetic turnover was driven by current abiotic factors, not space. Main conclusions The patterns of ecological and phylogenetic diversity likely reflect the Miocene climate shift to increasing seasonality northwards. Phylogenetic clustering under hydric stress or historical instability suggests the influence of functional conservatism, whereas overdispersion in southern forests supports the persistence of old lineages in an ancient rain forest refugium as an evolutionary museum. Overdispersion in fragmented montane forests reflects a mixture of biogeographically distinct species pools, both tropical and temperate, that characterise environmentally contrasted cores and fringes. Low phylogenetic turnover along the seasonality gradient suggests recent ecological diversification across forests with contrasted rainfall seasonality.",Y,Plot-based,https://doi.org/10.1111/jbi.13464,2019,JOURNAL OF BIOGEOGRAPHY,"Bose, R; Ramesh, BR; Pelissier, R; Munoz, F",,,Kaisodi virus; Next-generation sequencing; India; Genomic characterization; Phylogenetic analysis,KYASANUR-FOREST-DISEASE; STATE SOUTH-INDIA; SANDFLY FEVER; MYSORE-STATE; HAEMAPHYSALIS SPINIGERA; MALSOOR VIRUS; PUNTA-TORO; TRANSCRIPTION; BUNYAVIRIDAE; IDENTIFICATION,Indian Council of Medical Research (ICMR); ICMR - National Institute of Virology (NIV),"[Yadav, P. D.; Nyayanit, D. A.; Shete, A. M.; Jain, S.; Majumdar, T. P.; Chaubal, G. Y.; Shil, P.; Kore, P. M.; Mourya, D. T.] ICMR Natl Inst Virol, Maximum Containment Facil, Microbial Containment Complex,Sus Rd, Pune 411021, Maharashtra, India","Mourya, DT (corresponding author), ICMR Natl Inst Virol, Maximum Containment Facil, Sus Rd, Pune 411001, Maharashtra, India.","Indian Council of Medical Research-National Institute of Virology, Pune",,,,,,,,,,
,,,A1767,142,1768,Random Forest Regression modelling for Forest Aboveground Biomass Estimation using RISAT-1 PolSAR and Terrestrial LiDAR Data,"SAR and LiDAR remote sensing have already shown the potential of active sensors for forest parameter retrieval. SAR sensor in its fully polarimetric mode has an advantage to retrieve scattering property of different component of forest structure and LiDAR has the capability to measure structural information with very high accuracy. This study was focused on retrieval of forest aboveground biomass (AGB) using Terrestrial Laser Scanner (TLS) based point clouds and scattering property of forest vegetation obtained from decomposition modelling of RISAT-1 fully polarimetric SAR data. TLS data was acquired for 14 plots of Timli forest range, Uttarakhand, India. The forest area is dominated by Sal trees and random sampling with plot size of 0.1 ha (31.62m* 31.62m) was adopted for TLS and field data collection. RISAT-1 data was processed to retrieve SAR data based variables and TLS point clouds based 3D imaging was done to retrieve LiDAR based variables. Surface scattering, double-bounce scattering, volume scattering, helix and wire scattering were the SAR based variables retrieved from polarimetric decomposition. Tree heights and stem diameters were used as LiDAR based variables retrieved from single tree vertical height and least square circle fit methods respectively. All the variables obtained for forest plots were used as an input in a machine learning based Random Forest Regression Model, which was developed in this study for forest AGB estimation. Modelled output for forest AGB showed reliable accuracy (RMSE = 27.68 t/ha) and a good coefficient of determination (0.63) was obtained through the linear regression between modelled AGB and field-estimated AGB. The sensitivity analysis showed that the model was more sensitive for the major contributed variables (stem diameter and volume scattering) and these variables were measured from two different remote sensing techniques. This study strongly recommends the integration of SAR and LiDAR data for forest AGB estimation.",Y,Plot-based,https://doi.org/10.1117/12.2227380,2016,LIDAR REMOTE SENSING FOR ENVIRONMENTAL MONITORING XV,"Mangla, R; Kumar, S; Nandy, S",,,Lavandula; phylogeny; polyploidy; biogeography; C-value; trnK-matK; plastid marker,PHYLOGENETIC-RELATIONSHIPS; MOLECULAR SYSTEMATICS; DIVERSITY; SEQUENCES; LAMIACEAE; LABIATAE,Universite de Rouen Normandie; Universite Jean Monnet; UDICE-French Research Universities; Universite Claude Bernard Lyon 1; UDICE-French Research Universities; Universite Claude Bernard Lyon 1; Centre National de la Recherche Scientifique (CNRS); VetAgro Sup,"[Moja, S.; Guitton, Y.; Nicole, F.; Jullien, F.] Univ Lyon, F-42023 St Etienne, France; [Moja, S.; Guitton, Y.; Nicole, F.; Jullien, F.] Univ St Etienne, Lab BVpam, EA3061, 23 Rue Dr Paul Michelon, F-42000 St Etienne, France; [Legendre, L.] Univ Lyon, F-69622 Lyon, France; [Legendre, L.] Univ Lyon 1, Villeurbanne, France; [Legendre, L.] CNRS, Ecol Microbienne, UMR5557, Villeurbanne, France; [Pasquier, B.] CNPMAI, Route Nemours, F-91490 Milly La Foret, France; [Upson, T.] Cambridge Univ Bot Garden, 1 Brookside, Cambridge CB2 1JF, England","Moja, S (corresponding author), Univ Lyon, F-42023 St Etienne, France.;Moja, S (corresponding author), Univ St Etienne, Lab BVpam, EA3061, 23 Rue Dr Paul Michelon, F-42000 St Etienne, France.",Region Rhone-Alpes (France); Conseil General de l'Essonne,,,,,,,,,,
,,,C0087,143,3355,"Study on Diversity of Social Bees Foraging Medicinal Plants in Walayar Valley of Coimbatore District, Western Ghats, India",NA,Y,Unsure,no DOI (manual),2015,NA,"A Venkatachalapathi, B Subbaiyan, S Jagathes Kumar",,,,,,,,,,,,,,,,,,
,,,A0546,144,547,"Seasonal dynamics in soil microbial biomass C, N and P in a temperate forest ecosystem of Uttarakhand, India",NA,Y,Plot-based,https://doi.org/10.1007/s42965-021-00153-6,2021,TROPICAL ECOLOGY,"Rawat, M; Arunachalam, K; Arunachalam, A",,,Electric vehicles; CO2 emissions; quantile-on-quantile (QQ) approach,ENERGY-CONSUMPTION; FUEL CONSUMPTION; GROWTH NEXUS; IMPACT; GREEN; TESTS,Peking University; Universiti Utara Malaysia; Beijing Institute of Technology; University of International Business & Economics; University of International Business & Economics,"[Xu, Bingjie] Peking Univ, HSBC Business Sch, Guangdong 518055, Peoples R China; [Sharif, Arshian] Univ Utara Malaysia, Othman Yeop Abdullah Grad Sch Business, Kedah 06010, Malaysia; [Sharif, Arshian] ILMA Univ, Dept Business Adm, Fac Management Sci, Karachi 70348, Pakistan; [Shahbaz, Muhammad] Beijing Inst Technol, Sch Management & Econ, Beijing 100081, Peoples R China; [Dong, Kangyin] Univ Int Business & Econ, Sch Int Trade & Econ, Beijing 100029, Peoples R China; [Dong, Kangyin] Univ Int Business & Econ, UIBE Belt & Rd Energy Trade & Dev Ctr, Beijing 100029, Peoples R China","Dong, KY (corresponding author), Univ Int Business & Econ, Sch Int Trade & Econ, Beijing 100029, Peoples R China.;Dong, KY (corresponding author), Univ Int Business & Econ, UIBE Belt & Rd Energy Trade & Dev Ctr, Beijing 100029, Peoples R China.",Fundamental Research Funds for the Central Universities in UIBE [19QD03],,,,,,,,,,
,,,A1005,145,1006,Influence of Terminalia arjuna on the riparian landscapes of the River Cauvery of South India,"Mature and large isolated trees act as keystone structures in various ecosystems by supporting the populations of dependent organisms. Terminalia arjuna is one such species that is dominant in the riparian landscapes along the River Cauvery in Cauvery Wildlife Sanctuary. We tested the hypothesis that T. arjuna influences plant community composition in riparian landscapes and supports a distinct local riparian community. We showed plant species richness, diversity, similarity in community composition, and soil quality varied between riparian landscapes under canopy of T. arjuna and areas devoid of T. arjuna. Higher species richness, diversity, dominance, and evenness were noted in areas under canopy of T. arjuna. The non-metric multi-dimensional scaling ordination space analysis identifies the native riparian species assemblages in areas under canopy of T. arjuna with improved soil nutrient conditions. Overall, the study concludes T. arjuna has potential positive effects on riparian landscapes by showing the remarkable differences in biological diversity and it can be considered as keystone species in riparian ecosystems of South India.",Y,Plot-based or transects,https://doi.org/10.1080/01426397.2018.1560400,2019,LANDSCAPE RESEARCH,"Sunil, C; Somashekar, RK; Nagaraja, BC",,,,PHYLOGENETIC ANALYSES; CYCADACEAE; DISTRIBUTIONS; DISPERSAL; EVOLUTION; ISLANDS,University of Peradeniya; University of Peradeniya; University of Peradeniya,"[Mudannayake, Asanka; Perera, Anoma] Univ Peradeniya, Fac Sci, Dept Bot, Peradeniya, Sri Lanka; [Mudannayake, Asanka; Samaraweera, Preminda; Sooriyapathirana, Suneth; Perera, Anoma] Univ Peradeniya, Postgrad Inst Sci, Peradeniya, Sri Lanka; [Ranaweera, Lahiru; Samaraweera, Preminda; Sooriyapathirana, Suneth] Univ Peradeniya, Fac Sci, Dept Mol Biol & Biotechnol, Peradeniya, Sri Lanka","Perera, A (corresponding author), Univ Peradeniya, Fac Sci, Dept Bot, Peradeniya, Sri Lanka.;Perera, A (corresponding author), Univ Peradeniya, Postgrad Inst Sci, Peradeniya, Sri Lanka.",University of Peradeniya Research Grant [RG/AF 2013/72/S],"Green Published, gold",,,,,,,,,
,,,B0028,146,3355,"Vegetation structure and floristic composition of a tropical dry deciduous forest in Bhadra Wildlife Sanctuary, Karnataka, India",NA,Y,Unsure,no DOI (manual),2010,TROPICAL ECOLOGY,"Krishnamurthy, YL; Prakasha, HM; Nanda, A; Krishnappa, M; Dattaraja, HS; Suresh, HS",,,,,,,,,,,,,,,,,,
,,,C0185,147,3355,Vegetation types and wildlife occurrence in Baghmara Buffer zone community forest,NA,Y,Unsure,no DOI (manual),2012,NA,"BK Sharma, MK Chalise, GS Solanki",,,,,,,,,,,,,,,,,,
,,,A2954,148,2955,"Biomass equations of dominant species of dry deciduous forest in Shivpuri district, Madhya Pradesh","In the present study allometric equations were developed to estimate bole biomass of five prominent species found in dry deciduous forest in Shivpuri district, Madhya Pradesh, central India, using a non-destructive method. For this, wood samples were taken from the permanent sample plots (where these species were available) in all the available girth classes and their biomass values were calculated. Efforts were made to establish the relationship between sample biomass values and different bole parameters like circumference at breast height (cbh), cbh squared multiplied by height of bole and log cbh values (log-log model). Finally, the best relationship was used to derive constants using linear regression to estimate biomass using Y = a + b * X model.",Y,Plot-based or transects,no DOI (manual),2004,CURRENT SCIENCE,"Kale, M; Singh, S; Roy, PS; Deosthali, V; Ghole, VS",,,,POPULATION-STRUCTURE; MTDNA VARIATION; EVOLUTION; SEQUENCE; AFFINITIES; LINEAGES; GROWTH,Government Vidarbha Institute of Science & Humanities,"Govt Vidarbha Inst Sci & Humanities, Dept Zool, Populat Biol Lab, Amravati, MS, India; Deccan Coll Med Sci & Allied Hosp, Ctr Liver Res & Diagnost, Hyderabad, Andhra Pradesh, India","Baig, MM (corresponding author), Govt Vidarbha Inst Sci & Humanities, Dept Zool, Populat Biol Lab, Amravati, MS, India.",,,,,,,,,,,
,,,C0077,149,3355,Anthropogenic disturbances alter community structure in the forests of Kashmir Himalaya,NA,Y,,no DOI (manual),2019,NA,"SM Haq, I Rashid, AA Khuroo, ZA Malik, AH Malik",,,,,,,,,,,,,,,,,,
,,,A1663,150,1664,Plant species richness pattern across India's longest longitudinal extent,"Although the longitudinal pattern of biological diversity may not be as striking as the latitudinal pattern, there are climatic gradients associated with habitat, topography and disturbance, which may generate variation in biological diversity along a longitudinal extent. We analysed the pattern of plant diversity using field data gathered from a national level 'biodiversity characterization at landscape level' project, along the longest longitudinal extent of India, varying from desert to wet tropics. Across a 3 degrees latitudinal band (25-27 degrees N lat.), the aridity decreased drastically from west to east, and the vegetation varied from tropical thorn, tropical deciduous, tropical semi-evergreen to tropical evergreen forests. In general, the species diversity is maximum in the east, minimum in the centre and intermediate in the west. The proportion (with respect to total number of species of each corresponding grid) of woody trees increased by half and shrubs increased by one-third, whereas herbal proportion decreased by half from western to eastern grid. The major predictor of species richness was the number of forest vegetation types, followed by topography (ruggedness index); together these explained 63% of the variance as revealed from generalized linear modelling analysis. The study concludes that, from west to east, (i) the vegetation type varies from tropical thorn to tropical moist/wet evergreen forest corresponding to aridity; (ii) there is monotonic drastic increase of woody tree, moderate increase of shrub, and drastic decrease of herb species, and (iii) plant diversity has a nonlinear distribution pattern attributed mainly to variation in the number of forest vegetation types followed by abiotic topography and climate. The study was possible due to the availability of national plant diversity database that followed a uniform field sampling design.",Y,Plot-based or transects,https://doi.org/10.18520/cs/v111/i7/1220-1225,2016,CURRENT SCIENCE,"Behera, MD; Roy, PS; Panda, RM",,,beta-Asarone; HPLC; medicinal plant; ploidy; RAPD,ESSENTIAL OIL; BETA-ASARONE; L.; POPULATIONS,Vellore Institute of Technology (VIT); VIT Vellore; Indian Council of Agricultural Research (ICAR); ICAR - Indian Institute of Horticultural Research; Indian Council of Agricultural Research (ICAR); ICAR - Indian Institute of Horticultural Research; Bangalore University,"[Avadhani, M. N. Mythili; Selvaraj, C. Immanuel; Tharachand, C.] VIT Univ, Sch Biosci & Technol, Dept Biotechnol, Vellore 632014, Tamil Nadu, India; [Rajasekharan, P. E.] Indian Inst Hort Res, Div Plant Genet Resources, Bangalore 560089, Karnataka, India; [Rao, V. K.] Indian Inst Hort Res, Div Plant Physiol & Biochem, Bangalore 560089, Karnataka, India; [Munirajappa, H.] Bangalore Univ, Dept Sericulture, Bangalore 560056, Karnataka, India","Selvaraj, CI (corresponding author), VIT Univ, Sch Biosci & Technol, Dept Biotechnol, Vellore 632014, Tamil Nadu, India.","VIT University, Vellore",,,,,,,,,,
,,,A2857,151,2858,"Biodiversity conservation in sacred groves of Manipur, northeast India: population structure and regeneration status of woody species","Sacred groves are forest patches conserved by the local people intertwined with their socio-cultural and religious practice. These groves harbour rich biodiversity and play a significant role in the conservation of biodiversity. Population structure and regeneration status of woody species were studied during 2001-2002 in the four sacred groves of Manipur, a state in north east India. A total of 96 woody species was recorded from the four groves, the highest being Konthoujam Lairembi sacred grove (55 species) and lowest in Heingang Marjing sacred grove having 42 species. The density-diameter distribution of woody species in the four groves showed highest stand density and species richness in the lowest girth class (30-60 cm) and decreased in the succeeding girth classes. Overall population structure of the groves based on the number of tree seedlings, saplings and adults, displayed a greater proportion of seedlings followed by saplings and adults while for the selected tree species it varied seasonally and recruitment of species increased during rainy season attaining peak during June. Regeneration status of the four sacred groves based on strength of different age groups in their population showed good regeneration. High occurrence of 'additional species' to the groves may be due to the invasion through dispersal from other areas. Possibly, the prevailing favourable microenvironmental conditions contributed to their establishment and growth in the groves. Absence of seedlings and saplings of some of the species in the groves may be due to their poor seed germination and establishment of seedlings in the forest.",Y,Plot-based or transects,https://doi.org/10.1007/s10531-004-6901-0,2006,BIODIVERSITY AND CONSERVATION,"Khumbongmayum, AD; Khan, M; Tripathi, RS",,,sulfur oxidation; chemolithoautotrophic paracocci; Paracoccus bengalensis sp nov.; leguminous rhizosphere,THIOSPHAERA-PANTOTROPHA; GEN. NOV.; DENITRIFICANS; PROTEOBACTERIA; BACTERIUM; OXIDATION; PROPOSAL,Department of Science & Technology (India); Bose Institute,"Bose Inst, Dept Microbiol, Kolkata 700054, W Bengal, India","Ghosh, W (corresponding author), Bose Inst, Dept Microbiol, P-1-12,CIT Scheme 7-M, Kolkata 700054, W Bengal, India.",,,,,,,,,,,
,,,A1706,152,1707,Seed size predicts community composition and carbon storage potential of tree communities in rain forest fragments in India's Western Ghats,"1. Fragmentation is ubiquitous across tropical forests and drives marked shifts in tree community composition by differentially affecting species' dispersal, establishment and survival. Such compositional shifts can potentially alter ecosystem-level properties such as above-ground carbon storage, but our understanding of the factors linking compositional shifts to carbon storage is limited. 2. We compared tree communities of contiguous and fragmented tropical rain forests in the Western Ghats (India) and assessed the ability of various plant functional traits associated with seed dispersal, establishment and survival processes to predict species' responses to fragmentation. 3. Further, we assessed relationships between functional traits that predict tree community turnover and those that govern carbon storage to examine how fragmentation effects on species' composition can alter the ability of tree communities to store carbon. 4. Seed size, as indexed by seed length, was the best predictor of species' responses, with larger-seeded species declining in fragments. Across species, seed length was positively correlated with maximum attainable height, which decreased by 10% on average at the community level in fragments. Such shifts towards smaller-seeded communities could decrease forest stature and reduce above-ground carbon stocks by 8%. 5. Synthesis and applications. Our study highlights a previously undescribed mechanism by which fragmentation-driven declines of large-seeded tree species can reduce above-ground carbon stocks by promoting shorter-statured forests. These results imply that strict protection alone might be insufficient and that a multipronged conservation strategy would be required to sustain carbon stocks in tropical forest fragments. Such interventions will need to combine restoration programmes for large-seeded tree species in fragments with broader-scale efforts to maintain hospitable and well-connected landscapes for their seed dispersers.",Y,,https://doi.org/10.1111/1365-2664.12626,2016,JOURNAL OF APPLIED ECOLOGY,"Osuri, AM; Sankaran, M",,,Trees outside forests; High resolution data; Geospatial; Remote sensing,SCALE,"Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO); National Remote Sensing Centre (NRSC); Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO); National Remote Sensing Centre (NRSC); Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO); National Remote Sensing Centre (NRSC); Osmania University; Jawaharlal Nehru Technological University - Hyderabad","[Pujar, G. S.; Jha, C. S.] Natl Remote Sensing Ctr, Remote Sensing Area, Forestry & Ecol Grp, Hyderabad, Andhra Pradesh, India; [Dadhwal, V. K.] Natl Remote Sensing Ctr, Hyderabad, Andhra Pradesh, India; [Murthy, M. S. R.] Int Ctr Integrated Mt Dev, Geospatial, Kathmandu, Nepal; [Trivedi, S.] NRSC, Reg Remote Sensing Ctr South, 1 Site Campus, Bangalore, India; [Reddy, P. M.] Osmania Univ, Dept Environm Sci, Hyderabad, Andhra Pradesh, India; [Swapna, D.] Jawaharlal Nehru Inst Technol, Ctr Atmospher Sci & Weather Modificat Technol, Hyderabad, Andhra Pradesh, India","Pujar, GS (corresponding author), Natl Remote Sensing Ctr, Remote Sensing Area, Forestry & Ecol Grp, Hyderabad, Andhra Pradesh, India.",ISRO Geosphere Biosphere Programme under National Carbon Project,,,,,,,,,,
,,,A3127,153,3128,"Growth and ecological impacts of traditional agroforestry tree species in Central Himalaya, India","A number of multipurpose tree species are conserved as scattered trees in settled farms on terraced slopes by the traditional farmers in Central Himalaya, India. Knowledge on growth rates and ecological impacts of these tree species is limited. Ten locally valued multipurpose tree species, viz., Albizzia lebbek, Alnus nepalensis, Boehmeria rugulosa, Celtis australis, Dalbergia sissoo, Ficus glomerata, Grewia optiva, Prunus cerasoides, Pyrus pashia and Sapium sebiferum, were established as mixed plantations at a degraded community forest land site and an abandoned agricultural land site in a village at 1200 m altitude in District Chamoli, India. At the abandoned agricultural land site, annual food crops were grown, along with planted trees, providing supplemental irrigation and organic manure following traditional farming practices. Survival, height, stem circumference, crown depth and width, number of branches, above-ground biomass and soil physico-chemical characteristics were monitored up to five years of plantation growth. Above-ground tree biomass accumulation at the abandoned agricultural land site was 3.9 t ha(-1) yr(-1) compared with 1.1 t ha(-1) yr(-1) at the degraded forest land site. B. rugulosa, C. australis, F. glomerata, G. optiva, P. cerasoides and S. sebiferum showed more prominent differences in growth at the two sites compared with A. lebbek, A. nepalensis, D. sissoo and P. pashia. A. nepalensis and D. sissoo showed best growth performance at both the sites. A significant improvement in soil physico-chemical characteristics was observed after five years at both of the sites. Carbon sequestration in soil was higher than that in bole biomass.",Y,Checklist,https://doi.org/10.1023/A:1006344812127,2000,AGROFORESTRY SYSTEMS,"Maikhuri, RK; Semwal, RL; Rao, KS; Singh, K; Saxena, KG",,,Acacia; allelopathy; agroforestry; crops; eucalyptus; growth attributes; leucaena,ZEA-MAYS; EUCALYPTUS; GROWTH; SUBSTANCES; CROPS,Indian Council of Agricultural Research (ICAR); ICAR - Indian Grassland & Fodder Research Institute,"Indian Grassland & Fodder Res Inst, Div Crop Prod, Jhansi 284003, Uttar Pradesh, India","Gill, AS (corresponding author), Indian Grassland & Fodder Res Inst, Div Crop Prod, Jhansi 284003, Uttar Pradesh, India.",,,,,,,,,,,
