,,,,,,To check,To check,To check,To check,To check,To check,To check,To check,To check,,To check,,To check,To check,To check,To check,To check,To fill,To fill,To fill,To fill,To fill,To fill,To fill,To fill,
,,,A0450,25,451,Tree diversity and biomass carbon stock along an altitudinal gradient in old-growth secondary semi-evergreen forests in North East India,NA,Y,Plot-based or transects,https://doi.org/10.1007/s42965-021-00185-y,2022,TROPICAL ECOLOGY,"Nath, PC; Ahmed, A; Bania, JK; Majumdar, K; Nath, AJ; Das, AK",,,Cloud computing; Eastern India; Gray level co-occurrence matrix; Land use and land cover; Random forest; RGB clustering,RANDOM FOREST; LAND-USE; CLASSIFICATION; WETLANDS,Indian Institute of Technology System (IIT System); Indian Institute of Technology (IIT) - Kharagpur; Banaras Hindu University (BHU); Indian Institute of Technology System (IIT System); Indian Institute of Technology (IIT) - Kharagpur,"[Behera, Mukunda Dev; Prakash, Jaya; Paramanik, Somnath; Mudi, Sujoy; Varghese, Roma] Indian Inst Technol Kharagpur, Ctr Oceans Rivers Atmosphere & Land Sci, Kharagpur 721302, W Bengal, India; [Dash, Jadunandan] Univ Suthanpton, Dept Geog & Environm Sci, Southampton, Hants, England; [Roy, Partha Sarathi] World Resources Inst, Sustainable Landscapes Restorat, New Delhi, India; [Abhilash, P. C.; Srivastava, Prashant Kumar] Banaras Hindu Univ, Inst Environm & Sustainable Develeopment, Varanasi, Uttar Pradesh, India; [Gupta, Anil Kumar] Indian Inst Technol Kharagpur, Dept Geol & Geophysiscs, Kharagpur 721302, W Bengal, India","Behera, MD (corresponding author), Indian Inst Technol Kharagpur, Ctr Oceans Rivers Atmosphere & Land Sci, Kharagpur 721302, W Bengal, India.",IIT Kharagpur,,,,,,,,,,
,,,A1286,26,1287,Quantifying carbon stocks in shifting cultivation landscapes under divergent management scenarios relevant to REDD,"Shifting cultivation dominates many tropical forest regions. It is expanding into old-growth forests, and fallow period duration is rapidly decreasing, limiting secondary forest recovery. Shifting cultivation is thus a major driver of carbon emissions through deforestation and forest degradation, and of biodiversity loss. The impacts of shifting cultivation on carbon stocks have rarely been quantified, and the potential for carbon-based payments for ecosystem services (PES), such as REDD+, to protect carbon in shifting cultivation landscapes is unknown. We present empirical data on aboveground carbon stocks in old-growth forest and shifting cultivation landscapes in northeast India, a hotspot of threatened biodiversity. We then model landscape-level carbon stocks under business-as-usual scenarios, via expansion into the old-growth forest or decreasing fallow periods, and intervention scenarios in which REDD+ is used to either reduce deforestation of primary or secondary forest or increase fallow period duration. We found substantial recovery of carbon stocks as secondary forest regenerates, with a 30-yr fallow storing about one-half the carbon of an old-growth forest. Business-as-usual scenarios led to substantial carbon loss, with an 80% reduction following conversion of old-growth forest to a 30-yr shifting cultivation cycle and, relative to a 30-yr cultivation landscape, a 70% reduction when switching to a 5-yr cultivation cycle. Sparing old-growth forests from deforestation using protected areas and intensifying cropping in the remaining area of shifting cultivation is the most optimal strategy for carbon storage. In areas lacking old-growth forest, substantial carbon stocks accumulate over time by sparing fallows for permanent forest regeneration. Successful implementation of REDD+ in shifting cultivation landscapes can help avert global climate change by protecting forest carbon, with likely co-benefits for biodiversity.",Y,Plot-based or transects,https://doi.org/10.1002/eap.1764,2018,ECOLOGICAL APPLICATIONS,"Borah, JR; Evans, KL; Edwards, DP",,,Tea cultivation; Deforestation; Population growth; Urbanization,PAPUA-NEW-GUINEA; COVER CHANGE; FOREST CONVERSION; DEFORESTATION; IMPACT; AGRICULTURE; VEGETATION; PROXIMATE; DYNAMICS; MALAYSIA,Polish Academy of Sciences,"[Prokop, Pawel] Polish Acad Sci, Dept Geoenvironm Res, Inst Geog & Spatial Org, Jana 22, PL-31018 Krakow, Poland","Prokop, P (corresponding author), Polish Acad Sci, Dept Geoenvironm Res, Inst Geog & Spatial Org, Jana 22, PL-31018 Krakow, Poland.",National Science Centre (Poland) [2012/05/B/ST10/00309]; Indian National Science Academy,,,,,,,,,,
,,,A3008,27,3009,Vascular plant diversity in the sacred groves of Jaintia Hills in northeast India,"Diversity of vascular plants was studied in three sacred groves of the Jaintia Hills, in northeast India. About 395 species, 250 genera, and 108 families comprising pteridophytes, gymnosperms and angiosperms were found in the groves. Orchidaceae, Rubiaceae, Asteraceae and Lauraceae were dominant families and Ficus was the largest genus, with nine species. About 160 tree species were distributed in canopy, subcanopy and under canopy strata of the forest. Concentration of tropical and temperate elements of the neighbouring Sino-Himalayan and Burma-Malayan regions, and endemic (54 species), rare (31 species) and primitive taxa (38 species) due to favourable climatic conditions and prolonged protection have contributed to the high species richness of the groves. Their better management and protection is important for the conservation of plant diversity in the region and also for the benefit of indigenous tribes of the state.",Y,Unsure,https://doi.org/10.1023/A:1023682228549,2003,BIODIVERSITY AND CONSERVATION,"Jamir, SA; Pandey, HN",,,epigeic earthworms; compost maturity; deciduous forest; vermicompost; soil biological activities,CATION-EXCHANGE CAPACITY; PERIONYX EXCAVATUS; ORGANIC MATERIALS; WHEAT STRAW; REPRODUCTION; NITROGEN; CARBON; GROWTH; MATURITY; BIOMASS,Indian Council of Agricultural Research (ICAR); ICAR - Indian Institute of Soil Sciences,"Indian Inst Soil Sci, Bhopal 462038, India","Manna, MC (corresponding author), Indian Inst Soil Sci, Nabibagh,Berasia Rd, Bhopal 462038, India.",,,,,,,,,,,
,,,C0201,28,3355,"The effect of climatic gradients, topographic variation and species traits on the beta diversity of rain forest trees",NA,Y,Plot-based,no DOI (manual),2007,NA,"Davidar, P., Rajagopal, B., Mohandass, D., Puyravaud, J. P., Condit, R., Wright, S. J., & Leigh Jr, E. G. ","Davidar, P., Rajagopal, B., Mohandass, D., Puyravaud, J. P., Condit, R., Wright, S. J., & Leigh Jr, E. G. (2007). The effect of climatic gradients, topographic variation and species traits on the beta diversity of rain forest trees. Global Ecology and Biogeography, 16(4), 510-518.",,,,,,,,,,,,,,,,,
,,,A2891,29,2892,Estimation of forest biomass using envisat - ASAR data,"This paper presents experimental results obtained with ENVISAT-ASAR space borne data of VV, VH and HH polarizations over the parts of Karnataka in the Western Ghats, India. The aim is to quantify various levels of above ground forest Biomass, Volume and Basal area with the help of empirical relationship of the backscattering coefficients with the ground inventory. Extensive field data were collected to characterize forest vegetation parameters in the plots. Ground inventory data such as GBH, tree height were collected. The above ground tree biomass (ABG) is estimated from the collected ground data using the existing allometric equations at stand level in study area. Dual polarized ENVISAT C-band Advanced Synthetic Aperture Radar (SAR) data of IS2 beam mode i.e., incidence angle ranges from 18.8(0)-26.1(0) were analyzed. The DN values of the ENVISAT-ASAR data are converted to backscattering coefficients. The forest in the study area holds 129-203 Mg ha(-1) (1 Mg=10(3) kg) of Biomass. Scatter plots were drawn between backscattering coefficients and Volume, Basal Area and Biomass for VV, VH and HV polarizations. Results show that with increase in the biomass levels, backscattering coefficient also increases. The backscattering coefficient of HH has significant correlation with the biophysical parameters whereas VH and VV are not well correlated. This relationship can be utilized to estimate the forest biophysical parameters of the study area.",Y,Plot-based,https://doi.org/10.1117/12.693304,2006,MICROWAVE REMOTE SENSING OF THE ATMOSPHERE AND ENVIRONMENT V,"Jha, CS; Rangaswamy, M; Vyjayanthi, N; Murthy, MSR",,,microwave remote sensing; SAR interferometry; interferometric coherence; the canopy digital surface model; envisat- ASAR,,"Birla Institute of Technology Mesra; Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO)","[Kumar, Praveen; Krishna, A. P.; Nathawat, M. S.] Birla Inst Technol, Remote Sensing Dept, Ranchi 835215, Jharkhand, India; [Singh, C. P.; Kandya, A. K.; Ajai, Shiv Mohan] ISRO, Environm Forestry & Microwave Applicat Div EFMD, Forestry Land Use Planning & Photogrammetry Applc, Remote Sensing Applicat & Image Proc Area RESIPA, Ahmadabad 380015, Gujarat, India","Kumar, P (corresponding author), Birla Inst Technol, Remote Sensing Dept, Ranchi 835215, Jharkhand, India.",,,,,,,,,,,
,,,C0142,30,3355,"Vegetation structure, floristic composition and soil nutrient status in three sites of tropical dry deciduous forest of West Bengal, India",NA,Y,Plot-based,no DOI (manual),2012,NA,HG Joshi,,,,,,,,,,,,,,,,,,
,,,B0019,31,3355,"Status and Diversity of Tree, Seedling and Sapling in Tropical Dry Deciduous Forest (DDF) of North Gujarat Region (NGR), Gujarat, India",NA,Y,Plot-based,no DOI (manual),NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,C0177,32,3355,"Assessment of carbon balance in community forests in Dolakha, Nepal",NA,Y,Plot-based,no DOI (manual),2013,NA,"S Shrestha, BS Karky, A Gurung, R Bista, OR Vetaas",,,,,,,,,,,,,,,,,,
,,,A1419,33,1420,"FOREST STOCK ASSESSMENT USING IRS1C DATA AND PRINCIPAL COMPONENT ANALYSIS OF KALSI SOIL CONSERVATION DIVISION, DEHRADUN (INDIA)","Remote sensing technologies can provide accurate, cost-effective and real time information for sustainable forest management. Present study demonstrates the use of high resolution IRS1C data and Principal Component Analysis (PCA) with supervised classification to define different types of forest cover in protected and unprotected areas for growing forest stock assessment of Shorea robusta Gaertn. F. (Sal) dominated forest. Further, a map of the same was generated which was subsequently validated using phyto-sociological field data in Dehradun, India. Three forest canopy density classes, viz., 10-30%, 30-70% and >70% could be differentiated. Aim of this study was to test usefulness of LISS-III and test its efficacy for assessment of total growing stock and further in generalising the method for the whole area. The homogeneous forest strata were field inventoried for individual tree (>= 10 cm dbh) diameter using sample quadrats at each of the study sites. The plot inventory data was analysed to arrive at image level growing stock estimates. An inspection review was carried out to be familiar with the study area using hard copy of LISS-III data to correlate the image. A scheme of forest classification was developed and the forests were stratified into moist Siwalik sal forest (3C/C2a), dry Siwalik sal forest (5B/C1a) and non-forest. High level of accuracy was achieved by ground truthing. The objective of the stratification was to categorize the forest into homogeneous strata. The biomass measurement from same sample plots was also integrated into the remote sensing technique for large spatial information on AGB distribution. The study revealed that protected sal forest has maximum volume and growing stock per hectare followed by unprotected sal forest. Same was also true for sal associates. The study also shows good scope of high resolution data for growing stock and forest carbon assessment, opening scope in estimating carbon sequestration potential of forest which may help researchers and policy makers to understand global and regional CO2 cycle.",Y,Plot-based,https://doi.org/10.1117/12.2325115,2018,"REMOTE SENSING FOR AGRICULTURE, ECOSYSTEMS, AND HYDROLOGY XX","Srivastava, P; Birman, S; Pandey, S",,,,POLYCYCLIC AROMATIC-HYDROCARBONS; BIOLOGICAL AEROSOL-PARTICLES; NATURAL AMAZONIAN AEROSOL; HIGH-ALTITUDE SITE; ORGANIC AEROSOLS; FUNGAL SPORES; PARTICULATE MATTER; AIRBORNE BACTERIA; ISOMER-RATIOS; SOUTH-ASIA,Indian Institute of Technology System (IIT System); Indian Institute of Technology (IIT) - Kanpur; Indian Institute of Technology System (IIT System); Indian Institute of Technology (IIT) - Kanpur,"[Rajput, Prashant; Chauhan, Amit Singh; Gupta, Tarun] IIT Kanpur, Dept Civil Engn, Kanpur 208016, Uttar Pradesh, India; [Rajput, Prashant; Chauhan, Amit Singh; Gupta, Tarun] IIT Kanpur, Ctr Environm Sci & Engn CESE, Atmospher Particle Technol Lab, Kanpur 208016, Uttar Pradesh, India","Chauhan, AS (corresponding author), IIT Kanpur, Dept Civil Engn, Kanpur 208016, Uttar Pradesh, India.;Chauhan, AS (corresponding author), IIT Kanpur, Ctr Environm Sci & Engn CESE, Atmospher Particle Technol Lab, Kanpur 208016, Uttar Pradesh, India.",,,,,,,,,,,
,,,A0156,34,157,Biomass and carbon recovery of secondary forest in a Montane Subtropical Forest of North Eastern India,NA,Y,Plot-based,https://doi.org/10.1007/s42965-022-00246-w,NA,TROPICAL ECOLOGY,"Sharma, SB; Kumar, S; Hegde, N",,,livelihood; ecosystem services; resilience; forest resources; market forces toward SDGs; Ganga River Basin,QUALITY-OF-LIFE; ECOSYSTEM SERVICES; CLIMATE-CHANGE; BIODIVERSITY; AREAS; COMMUNITIES; IMPACTS; HEALTH; CONSERVATION; DEGRADATION,Wildlife Institute of India; Wildlife Institute of India,"[Dobriyal, Pariva; Badola, Srishti; Hussain, Syed Ainul] Wildlife Inst India, Ganga Aqualife Conservat & Monitoring Ctr, Dehra Dun, India; [Badola, Ruchi] Wildlife Inst India, Dept Ecodev Planning & Participatory Management, Dehra Dun, India","Badola, R (corresponding author), Wildlife Inst India, Dept Ecodev Planning & Participatory Management, Dehra Dun, India.",Wildlife Institute of India (WII) [WII/RES/RSCH-EXPENDITURE/B.3]; WII-NMCG project [B-03/2015-16/1077],gold,,,,,,,,,
,,,A2257,35,2258,The rain-runoff response of tropical humid forest ecosystems to use and reforestation in the Western Ghats of India,"The effects of forest degradation and use and establishment of tree-plantations on degraded or modified forest ecosystems at multi-decadal time-scales using tree-plantations on the streamflow response are less studied in the humid tropics when compared to deforestation and forest conversion to agriculture. In the Western Ghats of India (Uttar Kannada, Karnataka State), a previous soil hydraulic conductivity survey linked with rain IDF (intensity-duration-frequency) had suggested a greater occurrence of infiltration-excess overland within the degraded forest and reforested areas and thus potentially higher streamflow (Bonell et al., 2010). We further tested these predictions in Uttar Kannada by establishing experimental basins ranging from 7 to 23 ha across three ecosystems, (1) remnant tropical evergreen Forest (NF), (2) heavily-used former evergreen forest which now has been converted to tree savanna, known as degraded forest (DF) and (3) exotic Acacia plantations (AC, Acacia auriculiformis) on degraded former forest land. In total, 11 basins were instrumented (3 NF, 4 AC and 4 DF) in two geomorphological zones, i.e., Coastal and Up-Ghat (Malnaad) and at three sites (one Coastal, two Up-Ghat). The rainfall-streamflow observations collected (at daily and also at a 36 min time resolutions in the Coastal basins) over a 2-3 year period (2003-2005) were analysed. In both the Coastal and Up-Ghat basins, the double mass curves showed during the rainy season a consistent trend in favour of more proportion of streamflow in the rank order DF > AC > NF. These double mass curves provide strong evidence that overland flow is progressively becomes a more dominant stormflow pathway. Across all sites. NF converted 28.4 +/- 6.41(stdev%) a of rainfall into total streamflow in comparison to 32.7 +/- 6.97(stdev%) in AC and 45.3 +/- 9.61(stdev%) in DF. Further support for the above trends emerges from the quickflow ratio Q(F)/Q for the Coastal basins. There are much higher values for both the DF and AC land covers, and their rank order DF > AC > NF. The quickflow response ratio Q(F)/P is also the highest for the DF basin, and along with the Q(F)/Q ratio, can exceed 90%. The corresponding delayed flow response ratios. Q(D)/P clearly show the largest Q(D) yields as a proportion of event precipitation from the Forest (NF1). The application of linear model supported these differences (e.g. 10-36% difference between NF and DF, p < 0.001) in the storm hydrologic response of the Coastal basins. The exception was Q(F)/P where there was a higher uncertainty connected with inter-basin mean differences. Cross-correlation plots for rain-streamflow and corresponding lag regression models for three storm events in the Coastal basins suggested the existence of alternative stormflow pathways with multiple lags with peaks between similar to 12 and 24 h in NF, compared to respective bimodal peaks at similar to 1 and 16 h in AC and similar to 1 and 12 h in DF. The long time lags for NF are suggestive of deep subsurface stormflow and groundwater as the contributing sources to the storm hydrograph. The short time lags in DF and AC are indicative of overland flow and so 'memory' of the previous degraded land cover is retained in AC as supported by previous hydraulic conductivity data. As potential and actual evapotranspiration is likely to be depressed during the monsoon, differences in streamflow and run-off responses between land-cover types is largely attributed to differences in soil infiltration and hydrologic pathways. Enhancing infiltration and reducing run-off in managed ecosystems should be explored in the terms of the context of other ecosystem services and biodiversity. (C) 2012 Elsevier B.V. All rights reserved.",Y,Plot-based,https://doi.org/10.1016/j.jhydrol.2012.09.016,2012,JOURNAL OF HYDROLOGY,"Krishnaswamy, J; Bonell, M; Venkatesh, B; Purandara, BK; Lele, S; Kiran, MC; Reddy, V; Badiger, S; Rakesh, KN",,,,MULTILOCUS GENOTYPE DATA; TRANSPOSABLE ELEMENTS; LEPIDOPTERA-SATURNIIDAE; BOMBYX-MORI; SILKWORM; MARKERS; DNA; MICROSATELLITES; DIVERSITY; ISSR,"University of Delhi; Department of Biotechnology (DBT) India; International Center for Genetic Engineering & Biotechnology (ICGEB); International Center for Genetic Engineering & Biotechnology (ICGEB), New Delhi; Department of Biotechnology (DBT) India; Centre for DNA Fingerprinting & Diagnostics (CDFD); University of Delhi","[Singh, Y. Tunginba; Mazumdar-Leighton, Sudeshna; Saikia, Mahaswetta; Pant, Prashant; Kashung, Sochanngam] Univ Delhi, Dept Bot, Delhi 110007, India; [Neog, Kartik; Chakravorty, Rajen] Cent Muga & Eri Res & Training Inst, Ladoigarh, Assam, India; [Singh, Y. Tunginba; Nair, Suresh] Int Ctr Genet Engn & Biotechnol, New Delhi, India; [Nagaraju, Javaregowda] Ctr DNA Fingerprinting & Diagnost, Hyderabad, Andhra Pradesh, India; [Babu, Cheerukeri Raghavendra] Univ Delhi, Ctr Management Degraded Ecosyst, Delhi 110007, India","Mazumdar-Leighton, S (corresponding author), Univ Delhi, Dept Bot, Delhi 110007, India.","Department of Biotechnology, Government of India [BT/PR5233/PBD/19/116/2004-7]; Department of Biotechnology; Council of Scientific and Industrial Research, Govt. of India","Green Published, gold",,,,,,,,,
,,,A1966,36,1967,"Composition, structure and diversity characterization of dry tropical forest of Chhattisgarh using satellite data","The purpose of this study was to characterize the land use, vegetation structure, and diversity in the Barnowpara Sanctuary, Raipur district, Chhattisgarh, India through the use of satellite remote sensing and GIS. Land cover and vegetation were spatially analyzed by digitally classifying IRS 1D LISS III satellite data using a maximum likelihood algorithm. Later, the variations in structure and diversity in different forest types and classes were quantified by adopting quadratic sampling procedures. Nine land-cover types were delineated: teak forest, dense mixed forest, degraded mixed forest, Sal mixed forest, open mixed forest, young teak plantation, grasslands, agriculture, habitation, and water bodies. The classification accuracy for different land-use classes ranged from 71.23% to 100%. The highest accuracy was observed in water bodies and grassland, followed by habitation and agriculture, teak forest, degraded mixed forest, and dense mixed forest. The accuracy was lower in open mixed forest, and sal mixed forest. Results revealed that density of different forest types varied from 324. to 733 trees ha(-1), basal area from 8.13 to 28.87 m(2)-ha(-1) and number of species from 20 to 40. Similarly, the diversity ranged from 1.36 to 2.98, concentration of dominance from 0.06 to 0.49, species richness from 3.88 to 6.86, and beta diversity from 1.29 to 2.21. The sal mixed forest type recorded the highest basal area, diversity was highest in the dense mixed forest, and the teak forest recorded maximum density, which was poor in degraded mixed forests. The study also showed that Normalized Difference Vegetation Index (NDVI) was strongly correlated to with the Shannon Index and species richness.",Y,Unsure,https://doi.org/10.1007/s11676-014-0486-6,2014,JOURNAL OF FORESTRY RESEARCH,"Thakur, T; Swamy, SL; Nain, AS",,,forest fire; diversity; fuel load; vegetation structure,POPULATION-STRUCTURE; TROPICAL FOREST; WESTERN-GHATS; DIVERSITY; DYNAMICS,Indira Gandhi Krishi Vishwavidyalaya (IGKV); Kumaun University,"[Kittur, B. H.] Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, Thrissure, Kerala, India; [Swamy, S. L.; Jhariya, Manoj Kumar] Indira Gandhi Krishi Vishwavidyalaya, Coll Agr, Dept Forestry, Raipur 492006, CG, India; [Bargali, S. S.] Kumaun Univ, Dept Bot, Naini Tal 263001, Uttarakhand, India","Bargali, SS (corresponding author), Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263001, Uttarakhand, India.","NRSA, Hyderabad, Forest Department of Chhattisgarh, India",,,,,,,,,,
,,,A0891,37,892,"Floristic analysis and dominance pattern of sal (Shorea robusta) forests in Ranchi, Jharkhand, eastern India",NA,Y,Plot-based,https://doi.org/10.1007/s11676-018-0829-9,2020,JOURNAL OF FORESTRY RESEARCH,"Kumar, R; Saikia, P",,,Forest fire risk (FFR); Remote sensing; GIS; FR; AHP; Sensitivity analysis; Validation,HIERARCHY PROCESS,Indian Institute of Technology System (IIT System); Indian Institute of Technology (IIT) - Kharagpur; Vidyasagar University; Jadavpur University,"[Kayet, Narayan; Pathak, Khanindra] Indian Inst Technol Kharagpur, Kharagpur, W Bengal, India; [Kayet, Narayan; Chakrabarty, Abhisek; Dutta, Tanmoy] Vidyasagar Univ, Midnapore, W Bengal, India; [Sahoo, Satiprasad] Jadavpur Univ, Kolkata, W Bengal, India; [Hatai, Bijoy Krishna] Odisha Space Applicat Ctr, Bhubaneswar, Odisha, India","Kayet, N (corresponding author), Indian Inst Technol Kharagpur, Kharagpur, W Bengal, India.;Kayet, N (corresponding author), Vidyasagar Univ, Midnapore, W Bengal, India.",DFO of Melghat Tiger Reserve (MTR) Forest; Forest Survey of India (FSI); Forest Department of Maharashtra,,,,,,,,,,
,,,A1709,38,1710,Forest observational studies: an alternative to designed experiments,"With Ernst Assmann's appointment to the chair of Forest Yield Science in Munich in 1951, he assumed responsibility for the maintenance of the extensive network of growth-and-yield plots of the Bavarian Forest Research Institute. This network, with some plots having been remeasured since 1870, proved to be a rich source of observations, and constituted the empirical basis for Assmann's fundamental theories in production ecology. Realizing the strategic value of long-term field observations, scientists are using ( a) designed experiments and ( b) observational studies to study forest structure and dynamics. This contribution is an attempt to clarify fundamental differences, and to present examples, of these two approaches. We present recent developments regarding the installation of Designed Experiments and show that rigorous experimental design, usually found in planted forests and based on very specific manipulations, that are normally not found in the natural environment is required to address a particular hypothesis that cannot be tested by merely using available observations. We also present examples of new Forest Observational Networks established in China, India, Africa and America. These alternative research infrastructures are especially suitable for the study of natural forests that exhibit a high diversity of tree species with varying size and age structures. Our conclusion is that Forest Observational Studies are emerging as an important alternative to Designed Experiments because they provide a vast amount of information about complex natural forest communities rather quickly. However, long-term commitment is essential to ensure a steady flow of observations about forest dynamics. Manipulated experiments and observational studies can be complementary, but the optimum use of both installations requires careful planning and coordination.",Y,Unsure,https://doi.org/10.1007/s10342-016-0952-0,2016,EUROPEAN JOURNAL OF FOREST RESEARCH,"von Gadow, K; Zhao, XH; Tewari, VP; Zhang, CY; Kumar, A; Rivas, JJC; Kumar, R",,,ALOS PALSAR; Landsat TM; polarization; backscatter; tropical deciduous forest; biomass; Munger; Bihar,ABOVEGROUND BIOMASS; SAR; LIDAR,"Birla Institute of Technology Mesra; Central University of Rajasthan (CURAJ); Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO); Space Applications Centre (SAC); Department of Space (DoS), Government of India; Physical Research Laboratory - India","[Sinha, Suman; Jeganathan, C.] Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India; [Sharma, L. K.] Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Ajmer 305817, Rajasthan, India; [Nathawat, M. S.] Indira Gandhi Natl Open Univ IGNOU, Sch Sci, New Delhi 110068, India; [Das, Anup K.] Govt India, Dept Space, Space Applicat Ctr ISRO, Satellite Rd, Ahmadabad 380015, Gujarat, India; [Mohan, Shiv] PLANEX, Phys Res Lab, Thaltej Campus, Ahmadabad 380059, Gujarat, India","Sinha, S (corresponding author), Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India.","Department of Science and Technology (DST), Government of India under DST-INSPIRE Program [DST/INSPIRE FELLOWSHIP/2010/[316]]",Bronze,,,,,,,,,
,,,A2960,39,2961,"The diversity of life-form type, habitat preference and phenology of the endemics in the Goa region of the Western Ghats, India","Aim To carry out (1) a floristic survey of endemic flowering plants of the Western Ghats occurring in Goa, (2) identify their habitat preference and diversity of life-form type, (3) observe flowering phenology of the endemics and (4) to correlate factors that affect their phenological pattern. Location Goa state is located between 15degrees48' N and 14degrees53'54'' N and 74degrees20'13'' E and 73degrees40'33'' E, in the northern part of the Western Ghats, India. Method A list of endemic plants from the study area was prepared using available floristic works and checklists of endemic plants of India. Based on preliminary field observations carried out in the study area, major habitats such as plateaus, moist deciduous forests, semi-evergreen forests, evergreen forests and mangroves were identified for the subsequent intensive survey of endemics. Voucher specimens for all the endemic species were collected, processed using conventional herbarium techniques and deposited in the Herbarium, Department of Botany, Goa University. Species were identified using local and regional floras and their identity was confirmed at various herbaria along the Western Ghats. Data on their life-form types, habitat and phenology was recorded in the field. Phenological observations were made every fortnight. A computerized data base was generated incorporating details on their life-form type, phenology and habitat. Results A floristic survey of endemic plants of the Western Ghats in Goa resulted in the collection of 113 endemic species. Life-form analysis reveals that herbaceous endemics are the most dominant followed by trees, shrubs and climbers. Plateaus in the study area harbour the largest number of endemic species, especially herbs. Endemic trees are distributed in the semi-evergreen and evergreen forests. Endemic species in the study area show different peak and lean seasons of flowering depending on their life-form type, habitat and ecological factors like temperature and rainfall/moisture content in the soil. Main conclusions The plateaus in the northern part of the Western Ghats are unique, being species rich with herbaceous endemics. These ephemerals are closely associated with the rainfall patterns thus; any change of moisture regime over the long-term will have an impact on the distribution of these endemics.",Y,Checklist,https://doi.org/10.1111/j.1365-2699.2004.01067.x,2004,JOURNAL OF BIOGEOGRAPHY,"Joshi, VC; Janarthanam, MK",,,disturbance; microbial biomass; soil nutrient pool; tropical wet-evergreen forest; northeast India,SUBTROPICAL HUMID FOREST; NITROGEN MINERALIZATION; EXTRACTION METHOD; PLANT NUTRIENTS; PHOSPHORUS; RESPIRATION; GLUCOSE; CARBON,North Eastern Regional Institute of Science & Technology (NERIST); North Eastern Hill University,"North Eastern Reg Inst Sci & Technol, Dept Forestry, Restorat Ecol Lab, Nirjuli 791109, Arunachal Prade, India; North Eastern Hill Univ, Dept Bot, Meghalaya 793022, India","Arunachalam, K (corresponding author), North Eastern Reg Inst Sci & Technol, Dept Forestry, Restorat Ecol Lab, Nirjuli 791109, Arunachal Prade, India.",,,,,,,,,,,
,,,A2654,40,2655,Community based forest management and its impact on vegetation: a case study,"The main focus of this case study was to reveal richness, uniqueness and economic importance of the minor forest producing species (MFPs). International Forest Resources and Institutions (IFRI) techniques were used to collect biophysical information pertaining to forest, vegetation and socio economy of dwellers. Ninety plots were demarcated to represent all types of vegetation and linked to social and institutional parameters. The regeneration status of the plant species was correlated to different resource utilization management practices, which includes harvesting practices as well as associated anthropogenic disturbances. The present paper tries to relate the usage of minor forest produces and its reflection on richness and diversity of the ecosystem. With above objects in mind, this paper brings out the role of community forest management and its impact on vegetation and sustainable development of aboriginals based on successive field work from three villages, Markegaon, Devulgaon and Ranvahi of Gadchiroli district of Maharashtra, India. An attempt has been made to develop a model for sustainable development and management of minor forest producing species.",Y,Plot-based,https://doi.org/10.3832/ifor0490-002,2009,IFOREST-BIOGEOSCIENCES AND FORESTRY,"Kumar, PG; Hate, S; Chaturvedi, A",,,Landslides; The Western Ghats scarps; Kerala; Land use; Debris flows; Rainfall intensity; Pore pressure,RAINFALL,Ministry of Earth Sciences (MoES) - India; National Centre for Earth Science Studies (NCESS); Geological Survey India,"[Kuriakose, Sekhar L.] United Nations Univ, ITC Sch Disaster Geoinformat Management, Int Inst Geoinformat Sci & Earth Observat ITC, NL-7500 AA Enschede, Netherlands; [Sankar, G.] Ctr Earth Sci Studies, Thiruvananthapuram, Kerala, India; [Muraleedharan, C.] Geol Survey India, Thiruvananthapuram, Kerala, India","Kuriakose, SL (corresponding author), United Nations Univ, ITC Sch Disaster Geoinformat Management, Int Inst Geoinformat Sci & Earth Observat ITC, Hengelosestr 99,POB 6, NL-7500 AA Enschede, Netherlands.",,,,,,,,,,,
