treatment,forest_type,plot_ID,gbh_cm,gbh_cm_stem2,gbh_cm_stem3,height_m,code,species_ID,family,ID_level,plotA,plotB,plotC,wd_m,wd_sd,WD_level,type_plot,gf
L1,deciduous,MAT1C502JR,40,NA,NA,8.5,pteace,Pterospermum aceroides,Sterculiaceae,S,Y,NA,NA,0.520992806,0.099729288,G,A,T
L1,deciduous,MAT1C502JR,38,NA,NA,6.5,jbadam,jungli badam medha,NA,G,Y,NA,NA,0.556149183,0.04416861,P,A,T
L1,deciduous,MAT1C502JR,69,NA,NA,10.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT1C502JR,145,NA,NA,18.5,pajrhe,Pajanelia rheedei,Bignoniaceae,S,Y,NA,NA,0.716352,0.252720576,S,A,T
L1,deciduous,MAT1C502JR,42,NA,NA,8.5,celphi,Celtis philippenis,Ulmaceae,S,Y,NA,NA,0.593820603,0.083757201,G,A,T
L1,deciduous,MAT1C502JR,34,NA,NA,4.5,diopil,Diospyros pilosiuscula,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT1C502JR,31,NA,NA,7,celphi,Celtis philippenis,Ulmaceae,S,Y,NA,NA,0.593820603,0.083757201,G,A,T
L1,deciduous,MAT1C502JR,34,NA,NA,7,stevil,Sterculia villosa,Sterculiaceae,S,Y,NA,NA,0.254856,0.127696287,S,A,T
L1,deciduous,MAT1C502JR,33,NA,NA,19.5,celphi,Celtis philippenis,Ulmaceae,S,Y,NA,NA,0.593820603,0.083757201,G,A,T
L1,deciduous,MAT1C502JR,93,NA,NA,22.5,celphi,Celtis philippenis,Ulmaceae,S,Y,NA,NA,0.593820603,0.083757201,G,A,T
L1,deciduous,MAT1C502JR,168,NA,NA,21.5,laghyp,Lagerstroemia hypoleuca,Lythraceae,S,Y,NA,NA,0.552762,0.063149352,S,A,T
L1,deciduous,MAT1C502JR,125,NA,NA,17.5,dioooc,Diospyros oocarpa,Ebenaceae,S,Y,NA,NA,0.69718256,0.130127619,G,A,T
L1,deciduous,MAT1C502JR,155,NA,NA,25.5,terman,Terminalia manii,Combretaceae,S,Y,NA,NA,0.66,0.153541295,S,A,T
L1,deciduous,MAT1C502JR,195,NA,NA,17.5,stevil,Sterculia villosa,Sterculiaceae,S,NA,NA,Y,0.254856,0.127696287,S,C,T
L1,deciduous,MAT1C502JR,250,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.556149183,0.04416861,P,C,T
L1,deciduous,MAT1C502JR,250,NA,NA,23.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,deciduous,MAT1C502JR,245,NA,NA,22.5,pajrhe,Pajanelia rheedei,Bignoniaceae,S,NA,NA,Y,0.716352,0.252720576,S,C,T
L1,deciduous,MAT1C502JR,180,NA,NA,25.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,deciduous,MAT1C502JR,265,NA,NA,23.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,NA,NA,Y,0.25,0.070641633,S,C,T
L1,deciduous,MAT1C502JR,223,NA,NA,28.5,terpro,Terminalia procera,Combretaceae,S,NA,NA,Y,0.52,0.153541295,S,C,T
L1,deciduous,MAT1C502JR,220,NA,NA,27.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,deciduous,MAT1C502JR,298.3,NA,NA,25.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,deciduous,MAT1C502JR,314,NA,NA,24.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,deciduous,MAT1C502JR,250,NA,NA,24.5,neogag,Neonauclea gagaena,Rubiaceae,S,NA,NA,Y,0.655777219,0.05189097,G,C,T
L1,deciduous,MAT1C502JR,260,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.556149183,0.04416861,P,C,T
L1,deciduous,MAT1C502JR,276.32,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.556149183,0.04416861,P,C,T
L1,deciduous,MAT1C502JR,208,NA,NA,19.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,NA,NA,Y,0.25,0.070641633,S,C,T
L1,deciduous,MAT1C502JR,16,NA,NA,4,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,53,NA,NA,11.5,stecol,Sterculia colorata,Sterculiaceae,S,Y,Y,NA,0.426577466,0.127696287,G,B,T
L1,deciduous,MAT1C502JR,16,NA,NA,6.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,29,NA,NA,6.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,14,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,12,NA,NA,2,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,13,NA,NA,4.5,glysp,Glycosmis sp,Rutaceae,G,NA,Y,NA,0.43911,NA,G,B,T
L1,deciduous,MAT1C502JR,18,NA,NA,3,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,deciduous,MAT1C502JR,62,NA,NA,14.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,Y,Y,NA,0.62,0.056568542,S,B,T
L1,deciduous,MAT1C502JR,10,NA,NA,3,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,12,NA,NA,3.5,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,deciduous,MAT1C502JR,12,NA,NA,3.5,desdas,Desmos dasymaschalus,Annonaceae,S,NA,Y,NA,0.556149183,0.04416861,P,B,T
L1,deciduous,MAT1C502JR,83,NA,NA,12.5,oroind,Oroxylum indicum,Bignoniaceae,S,Y,Y,NA,0.411093333,0.070025611,S,B,T
L1,deciduous,MAT1C502JR,18,NA,NA,5.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,11,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,16,NA,NA,6.5,leprub,Lepisanthes rubiginosa,Sapindaceae,S,NA,Y,NA,0.63,0.156428898,S,B,T
L1,deciduous,MAT1C502JR,12,NA,NA,3,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,15,NA,NA,3,dryass,Drypetes assamica,Euphorbioaceae,S,NA,Y,NA,0.706904579,0.075472281,G,B,T
L1,deciduous,MAT1C502JR,14,NA,NA,3,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,12,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,11,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,10,NA,NA,4,leprub,Lepisanthes rubiginosa,Sapindaceae,S,NA,Y,NA,0.63,0.156428898,S,B,T
L1,deciduous,MAT1C502JR,16,NA,NA,5,diocor,Diospyros cordifolia,Ebenaceae,S,NA,Y,NA,0.73,0.130127619,S,B,T
L1,deciduous,MAT1C502JR,12,NA,NA,4,atasp1,Atalantia sp,Rutaceae,S,NA,Y,NA,0.556149183,0.04416861,P,B,T
L1,deciduous,MAT1C502JR,10,NA,NA,4,atasp1,Atalantia sp,Rutaceae,S,NA,Y,NA,0.556149183,0.04416861,P,B,T
L1,deciduous,MAT1C502JR,30,NA,NA,7.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,Y,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C502JR,14,23,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,22,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,12,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,12,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.556149183,0.04416861,P,B,P
L1,deciduous,MAT1C502JR,144,NA,NA,19.5,celphi,Celtis philippenis,Ulmaceae,S,Y,Y,NA,0.593820603,0.083757201,G,B,T
L1,deciduous,MAT1C502JR,13,NA,NA,5,orohex,Orophea hexandra,Annonaceae,S,NA,Y,NA,0.556149183,0.04416861,P,B,T
L1,deciduous,MAT1C502JR,12,14,NA,7.5,diocor,Diospyros cordifolia,Ebenaceae,S,NA,Y,NA,0.73,0.130127619,S,B,T
L1,deciduous,MAT1C502JR,10,NA,NA,4,ixosp,Ixora sp,Rubiaceae,G,NA,Y,NA,0.792857143,0.096040666,G,B,T
L1,deciduous,MAT1C502JR,11,NA,NA,1,ixosp,Ixora sp,Rubiaceae,G,NA,Y,NA,0.792857143,0.096040666,G,B,T
L1,evergreen,MAT1C5P02,53,NA,NA,2,licpel,Licuala peltata,Arecaceae,S,Y,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,47,NA,NA,9.5,leprub,Lepisanthes rubiginosa,Sapindaceae,S,Y,Y,NA,0.63,0.156428898,S,B,T
L1,evergreen,MAT1C5P02,57,NA,NA,8.5,panand,Pandanus andamanica,Pandanaceae,S,Y,Y,NA,0.3309,NA,G,B,T
L1,evergreen,MAT1C5P02,13,NA,NA,4,diound,Diospyros undulata,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,evergreen,MAT1C5P02,45,NA,NA,8.5,drylon,Drypetes longifolia,Euphorbioaceae,S,Y,Y,NA,0.62,0.075472281,S,B,T
L1,evergreen,MAT1C5P02,55,NA,NA,13.5,cracoc,Cratoxylon cochinchinense,Hypericaceae,S,Y,Y,NA,0.553943453,0.034803208,P,B,T
L1,evergreen,MAT1C5P02,50,NA,NA,1.5,licpel,Licuala peltata,Arecaceae,S,Y,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,12,NA,NA,4,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,evergreen,MAT1C5P02,29,15,NA,7.5,surmul,Suregada multiflora,Euphorbioaceae,S,NA,Y,NA,0.647472,0.033046136,S,B,T
L1,evergreen,MAT1C5P02,72,NA,NA,2,licpel,Licuala peltata,Arecaceae,S,Y,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,110,NA,NA,20.5,terman,Terminalia manii,Combretaceae,S,Y,Y,NA,0.66,0.153541295,S,B,T
L1,evergreen,MAT1C5P02,12,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,24,NA,NA,6.5,clenit,Cleidion nitidum,Euphorbioaceae,S,NA,Y,NA,0.516666667,0.170098011,G,B,T
L1,evergreen,MAT1C5P02,15,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,60,NA,NA,19.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,Y,NA,0.645402767,0.073764352,G,B,T
L1,evergreen,MAT1C5P02,11,NA,NA,6.5,aretri,Areca triandra,Arecaceae,S,NA,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,10,NA,NA,6.5,aretri,Areca triandra,Arecaceae,S,NA,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,17,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,14,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,19,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.553943453,0.034803208,P,B,P
L1,evergreen,MAT1C5P02,58,NA,NA,12.5,aposp3,Aporosa sp3,Euphorbioaceae,S,Y,NA,NA,0.37023,NA,G,A,T
L1,evergreen,MAT1C5P02,31,NA,NA,6.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,Y,NA,NA,0.524774716,0.100269141,G,A,T
L1,evergreen,MAT1C5P02,124,NA,NA,14.5,xanand,Xanthophyllum andamanicum,Xanthophyllaceae,S,Y,NA,NA,0.704273905,0.087201939,G,A,T
L1,evergreen,MAT1C5P02,58,NA,NA,15.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,NA,NA,0.645402767,0.073764352,G,A,T
L1,evergreen,MAT1C5P02,44,NA,NA,2,licpel,Licuala peltata,Arecaceae,S,Y,NA,NA,0.553943453,0.034803208,P,A,P
L1,evergreen,MAT1C5P02,57,NA,NA,11.5,aphpol,Aphanamixis polystachya,Meliaceae,S,Y,NA,NA,0.5764139,0.06577571,S,A,T
L1,evergreen,MAT1C5P02,48,NA,NA,18.5,codand,Codiocarpus andamanica,Stemonuraceae,S,Y,NA,NA,0.553943453,0.034803208,P,A,T
L1,evergreen,MAT1C5P02,57,NA,NA,2,licpel,Licuala peltata,Arecaceae,S,Y,NA,NA,0.553943453,0.034803208,P,A,P
L1,evergreen,MAT1C5P02,67,NA,NA,10.5,panand,Pandanus andamanica,Pandanaceae,S,Y,NA,NA,0.3309,NA,G,A,T
L1,evergreen,MAT1C5P02,56,NA,NA,2,licpel,Licuala peltata,Arecaceae,S,Y,NA,NA,0.553943453,0.034803208,P,A,P
L1,evergreen,MAT1C5P02,68,NA,NA,2,licpel,Licuala peltata,Arecaceae,S,Y,NA,NA,0.553943453,0.034803208,P,A,P
L1,evergreen,MAT1C5P02,60,NA,NA,11.5,panand,Pandanus andamanica,Pandanaceae,S,Y,NA,NA,0.3309,NA,G,A,T
L1,evergreen,MAT1C5P02,105,NA,NA,12.5,clemyr,Cleistanthus myrianthus,Euphorbioaceae,S,Y,NA,NA,0.535,0.06363961,S,A,T
L1,evergreen,MAT1C5P02,44,NA,NA,10.5,glosp,Glochidion sp,Euphorbioaceae,G,Y,NA,NA,0.562466778,0.065759955,G,A,T
L1,evergreen,MAT1C5P02,64,NA,NA,2.5,licpel,Licuala peltata,Arecaceae,S,Y,NA,NA,0.553943453,0.034803208,P,A,P
L1,evergreen,MAT1C5P02,58,NA,NA,2.5,licpel,Licuala peltata,Arecaceae,S,Y,NA,NA,0.553943453,0.034803208,P,A,P
L1,evergreen,MAT1C5P02,203,NA,NA,22.5,parins,Parishia insignis,Anacardiaceae,S,NA,NA,Y,0.556666667,0.090184995,S,C,T
L1,evergreen,MAT1C5P02,207,NA,NA,18.5,parins,Parishia insignis,Anacardiaceae,S,NA,NA,Y,0.556666667,0.090184995,S,C,T
L1,evergreen,MAT1C5P02,270,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.553943453,0.034803208,P,C,T
L1,evergreen,MAT1C5P02,187,NA,NA,14.5,elatec,Elaeocarpus tectorius,Elaeocarpaceae,S,NA,NA,Y,0.488610154,0.095415774,G,C,T
L1,evergreen,MAT1C5P02,201,NA,NA,17.5,diland,Dillenia andamanica,Dilleniaceae,S,NA,NA,Y,0.61240513,0.066353381,G,C,T
L1,evergreen,MAT1C5P02,207.24,NA,NA,21.5,diland,Dillenia andamanica,Dilleniaceae,S,NA,NA,Y,0.61240513,0.066353381,G,C,T
L1,evergreen,MAT1C5P02,213,NA,NA,12.5,diland,Dillenia andamanica,Dilleniaceae,S,NA,NA,Y,0.61240513,0.066353381,G,C,T
L1,evergreen,MAT1C5P02,219.8,NA,NA,27.5,parins,Parishia insignis,Anacardiaceae,S,NA,NA,Y,0.556666667,0.090184995,S,C,T
L1,evergreen,MAT1C5P06,131,NA,NA,29.5,dipsp,Dipterocarpus sp,Dipterocarpaceae,G,Y,Y,NA,0.645402767,0.073764352,G,B,T
L1,evergreen,MAT1C5P06,15,NA,NA,2,kneand,Knema andamanica,Myristicaceae,S,NA,Y,NA,0.533326316,0.045363932,G,B,T
L1,evergreen,MAT1C5P06,187,NA,NA,24.5,endmac,Endocomia macrocoma var. Prainii,Myristicaceae,S,Y,Y,Y,0.587397252,0.037470326,P,B,T
L1,evergreen,MAT1C5P06,10,NA,NA,1.5,dioand,Diospyros andamanica,Ebenaceae,S,NA,Y,NA,0.6,0.130127619,S,B,T
L1,evergreen,MAT1C5P06,14,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.587397252,0.037470326,P,B,P
L1,evergreen,MAT1C5P06,10,NA,NA,5.5,callon,Calamus longisetus,Arecaceae,S,NA,Y,NA,0.587397252,0.037470326,P,B,P
L1,evergreen,MAT1C5P06,11,NA,NA,3.5,dioand,Diospyros andamanica,Ebenaceae,S,NA,Y,NA,0.6,0.130127619,S,B,T
L1,evergreen,MAT1C5P06,11,NA,NA,3,psepra,Pseuduvaria prainii,Annonaceae,S,NA,Y,NA,0.5814,NA,G,B,T
L1,evergreen,MAT1C5P06,18,16,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.587397252,0.037470326,P,B,P
L1,evergreen,MAT1C5P06,12,NA,NA,5,unk,unknown,NA,G,NA,Y,NA,0.587397252,0.037470326,P,B,T
L1,evergreen,MAT1C5P06,224,NA,NA,25.5,pompin,Pometia pinnata,Sapindaceae,S,Y,Y,Y,0.63303,0.066968606,S,B,T
L1,evergreen,MAT1C5P06,103,NA,NA,19.5,xanand,Xanthophyllum andamanicum,Xanthophyllaceae,S,Y,NA,NA,0.704273905,0.087201939,G,A,T
L1,evergreen,MAT1C5P06,214,NA,NA,17.5,vitgla,Vitex glabrata,Verbenaceae,S,Y,NA,Y,0.57974,0.07705028,S,A,T
L1,evergreen,MAT1C5P06,125,NA,NA,22.5,anttox,Antiaris toxicaria,Moraceae,S,Y,NA,NA,0.383069275,0.057834337,S,A,T
L1,evergreen,MAT1C5P06,55,NA,NA,13.5,calsou,Calophyllum soulattri,Clusiaceae,S,Y,NA,NA,0.43,0.091706365,S,A,T
L1,evergreen,MAT1C5P06,60,NA,NA,15.5,oropol,Orophea polycarpa,Annonaceae,S,Y,NA,NA,0.587397252,0.037470326,P,A,T
L1,evergreen,MAT1C5P06,65,NA,NA,17.5,semkur,Semecarpus kurzii,Anacardiaceae,S,Y,NA,NA,0.357206,0.087608313,G,A,T
L1,evergreen,MAT1C5P06,56,NA,NA,9.5,drasp,Dracaena sp,Dracaenaceae,G,Y,NA,NA,0.41832,0.057253439,G,A,T
